Total energy after final integration           :     -1.158112310 Eh
Total energy after final integration           :     -1.157946317 Eh
Total energy after final integration           :     -1.158179901 Eh
Total energy after final integration           :     -1.158803884 Eh
Total energy after final integration           :     -1.159792450 Eh
Total energy after final integration           :     -1.161100169 Eh
Total energy after final integration           :     -1.162656211 Eh
Total energy after final integration           :     -1.164356544 Eh
Total energy after final integration           :     -1.166069686 Eh
Total energy after final integration           :     -1.167693163 Eh
Total energy after final integration           :     -1.169198989 Eh
Total energy after final integration           :     -1.170567252 Eh
Total energy after final integration           :     -1.171731594 Eh
Total energy after final integration           :     -1.172588156 Eh
Total energy after final integration           :     -1.173021676 Eh
Total energy after final integration           :     -1.172931254 Eh
Total energy after final integration           :     -1.172257475 Eh
Total energy after final integration           :     -1.171011520 Eh
Total energy after final integration           :     -1.169300997 Eh
Total energy after final integration           :     -1.167341481 Eh
Total energy after final integration           :     -1.165440085 Eh
Total energy after final integration           :     -1.163942384 Eh
Total energy after final integration           :     -1.163149080 Eh
Total energy after final integration           :     -1.163228814 Eh
Total energy after final integration           :     -1.164164291 Eh
Total energy after final integration           :     -1.165757961 Eh
Total energy after final integration           :     -1.167694366 Eh
Total energy after final integration           :     -1.169629312 Eh
Total energy after final integration           :     -1.171269191 Eh
Total energy after final integration           :     -1.172417437 Eh
Total energy after final integration           :     -1.172985061 Eh
Total energy after final integration           :     -1.172975567 Eh
Total energy after final integration           :     -1.172457871 Eh
Total energy after final integration           :     -1.171537342 Eh
Total energy after final integration           :     -1.170329083 Eh
Total energy after final integration           :     -1.168932042 Eh
Total energy after final integration           :     -1.167403527 Eh
Total energy after final integration           :     -1.165758274 Eh
Total energy after final integration           :     -1.164035037 Eh
Total energy after final integration           :     -1.162347766 Eh
Total energy after final integration           :     -1.160825780 Eh
Total energy after final integration           :     -1.159567004 Eh
Total energy after final integration           :     -1.158637299 Eh
Total energy after final integration           :     -1.158078359 Eh
Total energy after final integration           :     -1.157912964 Eh
Total energy after final integration           :     -1.158147568 Eh
Total energy after final integration           :     -1.158772976 Eh
Total energy after final integration           :     -1.159763362 Eh
Total energy after final integration           :     -1.161073278 Eh
Total energy after final integration           :     -1.162631836 Eh
Total energy after final integration           :     -1.164334827 Eh
Total energy after final integration           :     -1.166050326 Eh
Total energy after final integration           :     -1.167675366 Eh
Total energy after final integration           :     -1.169182111 Eh
Total energy after final integration           :     -1.170551149 Eh
Total energy after final integration           :     -1.171716432 Eh
Total energy after final integration           :     -1.172574140 Eh
Total energy after final integration           :     -1.173008864 Eh
Total energy after final integration           :     -1.172919421 Eh
Total energy after final integration           :     -1.172246012 Eh
Total energy after final integration           :     -1.170999389 Eh
Total energy after final integration           :     -1.169286802 Eh
Total energy after final integration           :     -1.167323684 Eh
Total energy after final integration           :     -1.165417374 Eh
Total energy after final integration           :     -1.163914115 Eh
Total energy after final integration           :     -1.163115616 Eh
Total energy after final integration           :     -1.163191586 Eh
Total energy after final integration           :     -1.164125512 Eh
Total energy after final integration           :     -1.165720094 Eh
Total energy after final integration           :     -1.167659576 Eh
Total energy after final integration           :     -1.169599103 Eh
Total energy after final integration           :     -1.171244314 Eh
Total energy after final integration           :     -1.172398006 Eh
Total energy after final integration           :     -1.172970773 Eh
Total energy after final integration           :     -1.172965932 Eh
Total energy after final integration           :     -1.172452394 Eh
Total energy after final integration           :     -1.171535648 Eh
Total energy after final integration           :     -1.170331042 Eh
Total energy after final integration           :     -1.168937948 Eh
Total energy after final integration           :     -1.167414353 Eh
Total energy after final integration           :     -1.165775355 Eh
Total energy after final integration           :     -1.164058542 Eh
Total energy after final integration           :     -1.162376463 Eh
Total energy after final integration           :     -1.160858397 Eh
Total energy after final integration           :     -1.159602716 Eh
Total energy after final integration           :     -1.158675633 Eh
Total energy after final integration           :     -1.158119044 Eh
Total energy after final integration           :     -1.157955808 Eh
Total energy after final integration           :     -1.158192352 Eh
Total energy after final integration           :     -1.158819351 Eh
Total energy after final integration           :     -1.159810717 Eh
Total energy after final integration           :     -1.161120556 Eh
