# t_fs P_donor rate_au
2.589876071872674288e+02 0.000000000000000000e+00 3.280400167179431037e+02
2.599875593385696106e+02 0.000000000000000000e+00 3.392863454855781811e+02
2.609875114898717925e+02 0.000000000000000000e+00 2.438186287916744277e+02
2.619874636411739743e+02 0.000000000000000000e+00 1.013423637724484365e+02
2.629874157924761562e+02 0.000000000000000000e+00 -1.963364443779457602e+01
2.639873679437783380e+02 0.000000000000000000e+00 -6.624416376876568791e+01
2.649873200950805199e+02 0.000000000000000000e+00 -1.617224003030335311e+01
2.659872722463827586e+02 0.000000000000000000e+00 1.087729580920645702e+02
2.669872243976849404e+02 0.000000000000000000e+00 2.563062624558837683e+02
2.679871765489871223e+02 0.000000000000000000e+00 3.531050703600652128e+02
2.689871287002893041e+02 0.000000000000000000e+00 3.380407209094774998e+02
2.699870808515915428e+02 0.000000000000000000e+00 2.225414454652890583e+02
2.709870330028937246e+02 0.000000000000000000e+00 7.416302793527171389e+01
2.719869851541959065e+02 0.000000000000000000e+00 -3.858499729729918926e+01
2.729869373054980315e+02 0.000000000000000000e+00 -6.539416019299945049e+01
2.739868894568002702e+02 0.000000000000000000e+00 6.856853920810559444e+00
2.749868416081024520e+02 0.000000000000000000e+00 1.464621439030300394e+02
2.759867937594046339e+02 0.000000000000000000e+00 2.931242543970533916e+02
2.769867459107068157e+02 0.000000000000000000e+00 3.701258945566923444e+02
2.779866980620090544e+02 0.000000000000000000e+00 3.287959506277830997e+02
2.789866502133112363e+02 0.000000000000000000e+00 1.973324568683839288e+02
2.799866023646134181e+02 0.000000000000000000e+00 4.820502290962686942e+01
2.809865545159155999e+02 0.000000000000000000e+00 -5.170618639642327707e+01
2.819865066672177818e+02 0.000000000000000000e+00 -5.647881527850871919e+01
2.829864588185199636e+02 0.000000000000000000e+00 3.680271064263688174e+01
2.839864109698221455e+02 0.000000000000000000e+00 1.864939080524227961e+02
2.849863631211243842e+02 0.000000000000000000e+00 3.256129299456743524e+02
2.859863152724265660e+02 0.000000000000000000e+00 3.784334544879280884e+02
2.869862674237287479e+02 0.000000000000000000e+00 3.122483877495785123e+02
2.879862195750309297e+02 0.000000000000000000e+00 1.698532280603607774e+02
2.889861717263331684e+02 0.000000000000000000e+00 2.473152078197115600e+01
2.899861238776353503e+02 0.000000000000000000e+00 -5.839432474524178929e+01
2.909860760289375321e+02 0.000000000000000000e+00 -3.995562483932184250e+01
2.919860281802396571e+02 0.000000000000000000e+00 7.160083915196761950e+01
2.929859803315418958e+02 0.000000000000000000e+00 2.257678872053456018e+02
2.939859324828440776e+02 0.000000000000000000e+00 3.507963218520147848e+02
2.949858846341462595e+02 0.000000000000000000e+00 3.771346416363571734e+02
2.959858367854484413e+02 0.000000000000000000e+00 2.898711478905498211e+02
