t_fs P_1 P_2 Z
9.250000000000000000e+01 7.335602720411970035e-01 2.664397279588030520e-01 1.001291718238546791e+00
9.300000000000000000e+01 7.351091307712005474e-01 2.648908692287993416e-01 1.001350123391147262e+00
9.350000000000000000e+01 7.401748727809872586e-01 2.598251272190126304e-01 1.001310636995824233e+00
9.400000000000000000e+01 7.479327386394585275e-01 2.520672613605414725e-01 1.001175111900275638e+00
9.450000000000000000e+01 7.567105939400314840e-01 2.432894060599685437e-01 1.000953387545646445e+00
9.500000000000000000e+01 7.646627311630498358e-01 2.353372688369502752e-01 1.000663165072343208e+00
9.550000000000000000e+01 7.705421798701458380e-01 2.294578201298541065e-01 1.000329878712289400e+00
9.600000000000000000e+01 7.741786425377606973e-01 2.258213574622393027e-01 9.999839517333473093e-01
9.650000000000000000e+01 7.763924359592890845e-01 2.236075640407108878e-01 9.996544047265348842e-01
9.700000000000000000e+01 7.783864139219413003e-01 2.216135860780586719e-01 9.993618599117752854e-01
9.750000000000000000e+01 7.809817062368599183e-01 2.190182937631401927e-01 9.991160565062193744e-01
9.800000000000000000e+01 7.841684161854811652e-01 2.158315838145188625e-01 9.989193659641772971e-01
9.850000000000000000e+01 7.872240524596801903e-01 2.127759475403198375e-01 9.987717212877533779e-01
9.900000000000000000e+01 7.892542597470428856e-01 2.107457402529571144e-01 9.986714837611505580e-01
9.950000000000000000e+01 7.897364835058390264e-01 2.102635164941609458e-01 9.986127503827229024e-01
1.000000000000000000e+02 7.887086330950465740e-01 2.112913669049534260e-01 9.985846942428701078e-01
1.005000000000000000e+02 7.865716954398775940e-01 2.134283045601224060e-01 9.985757465704342417e-01
1.010000000000000000e+02 7.837762792965883296e-01 2.162237207034116426e-01 9.985786297730954164e-01
1.015000000000000000e+02 7.806869223864786322e-01 2.193130776135213955e-01 9.985908580723649175e-01
1.020000000000000000e+02 7.776775923974295068e-01 2.223224076025705487e-01 9.986110367976785973e-01
1.025000000000000000e+02 7.752590919503640210e-01 2.247409080496359790e-01 9.986361297449337648e-01
1.030000000000000000e+02 7.740156842350608413e-01 2.259843157649391865e-01 9.986627305855971803e-01
1.035000000000000000e+02 7.743374849360441514e-01 2.256625150639558208e-01 9.986898977219408335e-01
1.040000000000000000e+02 7.761572126241927938e-01 2.238427873758072062e-01 9.987195616424537903e-01
1.045000000000000000e+02 7.789212248412549222e-01 2.210787751587450500e-01 9.987540374200157833e-01
1.050000000000000000e+02 7.818381737193581538e-01 2.181618262806418185e-01 9.987936175129280558e-01
