# w J_total  J_DrudeLorentz  J_BrownianOscillator
4.602301150575287920e+02 2.334919791166392429e+02 1.578070188200219661e+02 7.568496029661727675e+01
4.622311155577789350e+02 2.351123071330111429e+02 1.580773746751892190e+02 7.703493245782192389e+01
4.642321160580290780e+02 2.367603583910760676e+02 1.583445185062751648e+02 7.841583988480091705e+01
4.662331165582791641e+02 2.384369709388320757e+02 1.586084664942647180e+02 7.982850444456734351e+01
4.682341170585293071e+02 2.401430030427119675e+02 1.588692348671029038e+02 8.127376817560906375e+01
4.702351175587794501e+02 2.418793332878672686e+02 1.591268398972526086e+02 8.275249339061466003e+01
4.722361180590295362e+02 2.436468606270371424e+02 1.593812978992832257e+02 8.426556272775393097e+01
4.742371185592796792e+02 2.454465043711792305e+02 1.596326252274903084e+02 8.581387914368892211e+01
4.762381190595298222e+02 2.472792041143733286e+02 1.598808382735456632e+02 8.739836584082767956e+01
4.782391195597799083e+02 2.491459195847947967e+02 1.601259534641787354e+02 8.901996612061606129e+01
4.802401200600300513e+02 2.510476304127759022e+02 1.603679872588883768e+02 9.067964315388751118e+01
4.822411205602801942e+02 2.529853358061410233e+02 1.606069561476857643e+02 9.237837965845525900e+01
4.842421210605302804e+02 2.549600541221040544e+02 1.608428766488675308e+02 9.411717747323653782e+01
4.862431215607804234e+02 2.569728223240549596e+02 1.610757653068203012e+02 9.589705701723467257e+01
4.882441220610305663e+02 2.590246953105292391e+02 1.613056386898550443e+02 9.771905662067419485e+01
4.902451225612806525e+02 2.611167451025582977e+02 1.615325133880724877e+02 9.958423171448583844e+01
4.922461230615307954e+02 2.632500598744244371e+02 1.617564060112588322e+02 1.014936538631655765e+02
4.942471235617809384e+02 2.654257428116000028e+02 1.619773331868117623e+02 1.034484096247882121e+02
4.962481240620310246e+02 2.676449107783374188e+02 1.621953115576969537e+02 1.054495992206404793e+02
4.982491245622811675e+02 2.699086927759857417e+02 1.624103577804345093e+02 1.074983349955512608e+02
5.002501250625313105e+02 2.722182281716530952e+02 1.626224885231156918e+02 1.095957396485374034e+02
5.022511255627814535e+02 2.745746646753136702e+02 1.628317204634495567e+02 1.117429442118641418e+02
5.042521260630315396e+02 2.769791560418723293e+02 1.630380702868392007e+02 1.139410857550331428e+02
5.062531265632816826e+02 2.794328594730667987e+02 1.632415546844882499e+02 1.161913047885785346e+02
5.082541270635318256e+02 2.819369326924063444e+02 1.634421903515365671e+02 1.184947423408698057e+02
5.102551275637819117e+02 2.844925306646437093e+02 1.636399939852250327e+02 1.208525366794187050e+02
5.122561280640320547e+02 2.871008019295549047e+02 1.638349822830909090e+02 1.232658196464639673e+02
5.142571285642821977e+02 2.897628845180900043e+02 1.640271719411908009e+02 1.257357125768991750e+02
5.162581290645323406e+02 2.924799014172881471e+02 1.642165796523535732e+02 1.282633217649346022e+02
