# w  J_DrudeLorentz  J_BrownianOscillator  J_total
5.002501250625313105e+02 3.306318773885805626e+02 1.626224885231156918e+02 1.680093888654648708e+02
5.022511255627814535e+02 3.342809990993938527e+02 1.628317204634495567e+02 1.714492786359442960e+02
5.042521260630315396e+02 3.379872951746652916e+02 1.630380702868392007e+02 1.749492248878261194e+02
5.062531265632816826e+02 3.417496201491766215e+02 1.632415546844882499e+02 1.785080654646884000e+02
5.082541270635318256e+02 3.455665655247522636e+02 1.634421903515365671e+02 1.821243751732156682e+02
5.102551275637819117e+02 3.494364392876608463e+02 1.636399939852250327e+02 1.857964453024357852e+02
5.122561280640320547e+02 3.533572449400319897e+02 1.638349822830909090e+02 1.895222626569410806e+02
5.142571285642821977e+02 3.573266601940288751e+02 1.640271719411908009e+02 1.932994882528380742e+02
5.162581290645323406e+02 3.613420155076738638e+02 1.642165796523535732e+02 1.971254358553202906e+02
5.182591295647824836e+02 3.654002726738169713e+02 1.644032221044620314e+02 2.009970505693549399e+02
5.202601300650325129e+02 3.694980037085583717e+02 1.645871159787629949e+02 2.049108877297954052e+02
5.222611305652826559e+02 3.736313703220940852e+02 1.647682779482061335e+02 2.088630923738879233e+02
5.242621310655327989e+02 3.777961042929252926e+02 1.649467246758108558e+02 2.128493796171144652e+02
5.262631315657829418e+02 3.819874891050066026e+02 1.651224728130615631e+02 2.168650162919450679e+02
5.282641320660330848e+02 3.862003432458016050e+02 1.652955389983310113e+02 2.209048042474706222e+02
5.302651325662832278e+02 3.904290056003674181e+02 1.654659398553310155e+02 2.249630657450364311e+02
5.322661330665332571e+02 3.946673234112089403e+02 1.656336919915911494e+02 2.290336314196177625e+02
5.342671335667834001e+02 3.989086433043106013e+02 1.657988119969646164e+02 2.331098313073459849e+02
5.362681340670335430e+02 4.031458059068070838e+02 1.659613164421615465e+02 2.371844894646455373e+02
5.382691345672836860e+02 4.073711445994068754e+02 1.661212218773088694e+02 2.412499227220979776e+02
5.402701350675338290e+02 4.115764889549653844e+02 1.662785448305374985e+02 2.452979441244278860e+02
5.422711355677839720e+02 4.157531734115146378e+02 1.664333018065955798e+02 2.493198716049190580e+02
5.442721360680341149e+02 4.198920517115356006e+02 1.665855092854885697e+02 2.533065424260470593e+02
5.462731365682841442e+02 4.239835176073393086e+02 1.667351837211451482e+02 2.572483338861941320e+02
5.482741370685342872e+02 4.280175322833054565e+02 1.668823415401091665e+02 2.611351907431962900e+02
5.502751375687844302e+02 4.319836588779044746e+02 1.670269991402572600e+02 2.649566597376472146e+02
5.522761380690345732e+02 4.358711044008242652e+02 1.671691728895421249e+02 2.687019315112821687e+02
5.542771385692847161e+02 4.396687692326044044e+02 1.673088791247607787e+02 2.723598901078436256e+02
5.562781390695348591e+02 4.433653042661494510e+02 1.674461341503481435e+02 2.759191701158013075e+02
5.582791395697848884e+02 4.469491756023429616e+02 1.675809542371951295e+02 2.793682213651478605e+02
5.602801400700350314e+02 4.504087365476791547e+02 1.677133556214916723e+02 2.826953809261875108e+02
5.622811405702851744e+02 4.537323064833160515e+02 1.678433545035937584e+02 2.858889519797223215e+02
5.642821410705353173e+02 4.569082559862795279e+02 1.679709670469147795e+02 2.889372889393647483e+02
5.662831415707854603e+02 4.599250973896953383e+02 1.680962093768406191e+02 2.918288880128546907e+02
5.682841420710356033e+02 4.627715797759266820e+02 1.682190975796685279e+02 2.945524821962581541e+02
5.702851425712856326e+02 4.654367872110569806e+02 1.683396477015693620e+02 2.970971395094876470e+02
5.722861430715357756e+02 4.679102388586019856e+02 1.684578757475726434e+02 2.994523631110293422e+02
5.742871435717859185e+02 4.701819894622030347e+02 1.685737976805752396e+02 3.016081917816277951e+02
